Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2012-01-01,Argentinian motorcyclist dies after Dakar Rally fall,Motorcycle competitor dies on opening day of Dakar Rally in Argentina,Sunderland stun Manchester City as Ji Dong-Won scores last-gasp winner,Hewitt extends Verdasco at Hopman after four-month injury layoff,"Suarez gave 'unreliable' evidence to racial abuse hearing, says FA report",Clijsters returns to WTA circuit with convincing straight sets win in Brisbane,,,,
2012-01-02,Holder Coma takes over Dakar Rally lead,Late Fulham double stuns Arsenal,Top-seeded Czechs start with victory,Newspaper alleges Gordon Brown e-mail may have been hacked,Serena - I don't love playing tennis,,,,,
2012-01-03,Real Madrid battle to beat Malaga in Copa del Rey,Manchester City extend lead at top of English Premier League,Roma wins as Mini teammate Holowczyc takes overall lead in Dakar Rally,Liverpool decide against Suarez appeal in race abuse ban,France's Hollande attacks rival Sarkozy over economy,Nadal survives Qatar scare; Murray drops set in Brisbane win,Smoke without fire? Terry's legal team tackles cigarette image,Clijsters battles past former No.1 Ivanovic in Brisbane,Actress Salma Hayek knighted in France,Pair convicted of Stephen Lawrence race murder in London
2012-01-04,Champions Manchester United thumped at Newcastle,Coma wins stage but still trails Despres,Nadal and Federer reach Qatar quarters,Jackson calls for more integrated UK police force,Police: Body in royal estate murder probe is young woman,Q&A: Why is the Lawrence verdict so important?,Injured Serena Williams pulls out of Brisbane event,Pair convicted of racist London murder sentenced,King airbrushed out of coronation portrait,Rare coin collection set to make a mint
2012-01-05,Anti-racism chief wants Liverpool action,Nadal and Federer on course for final,First round 64 gives Aiken Africa lead,Buemi lands Red Bull reserve role,Confident Clijsters powers into Brisbane semifinals,Muster's mission: Tennis star turns wine maker,Catherine unveils her chosen charity causes,,,
2012-01-06,Former British Open champion Oosthuizen leads in Africa Open defense,Raikkonen excited by Formula One return,Injury puts Clijsters' Australia Open defense in doubt,Federer pulls out in Qatar with back injury as top seed Nadal beaten by Monfils,Henry returns to Arsenal as Red Bulls agree to loan deal,Former military chief arrested in alleged plot against Turkish government,Mancini: Manchester City must sell to replace absent Toure brothers,Police appeal for help in royal estate murder probe,Plans to restore crumbling Colosseum cause rumblings in Rome,
2012-01-07,Qatari driver keeps battling at Dakar Rally,Milito magic helps Inter Milan march on,Benzema double as Real Madrid extend Spanish lead,"Kvitova, Berdych give Czechs team title",Tsonga slides to Qatar Open crown; Murray reaches Brisbane final,South African veteran faces showdown with Oosthuizen and Goosen,Eto'o suspension slashed by Cameroon,Liverpool apologize after opposing player abused by supporters in FA Cup tie,UK breast implant victims want answers,
2012-01-08,Barcelona title hopes hit by draw at city rivals Espanyol,EPL strugglers Queens Park Rangers sack manager Warnock,Liverpool apologize after opposing player abused by supporters in FA Cup tie,Oosthuizen retains Africa Open title with final round 67 in East London,Scholes in shock return as Man Utd beat holders Man City in FA Cup,Police: Body found on queen's estate was missing 17-year-old,Chinese Embassy pressures Italy to protect immigrants after killings,Stricker leads at halfway in PGA Tour opener in Hawaii,Murray cruises to Brisbane title with straight sets victory,William and Kate pledge support to veterans
2012-01-09,Venus Williams out of Australian Open,Henry scores winner on Arsenal return,Gordon cuts Peterhansel's lead,Messi takes third Ballon D'or crown,"Polish prosecutor shoots himself after press conference, survives",Beaten Stosur feeling the strain of Australia's high hopes,Woods to make 2012 PGA Tour bow at Pebble Beach Pro-Am,Duchess of Cambridge celebrates 30th birthday,Rooney defiant as City appeal against Kompany red card,Leader Stricker seeks strong start to Hawaii finale
2012-01-10,Real Madrid into Spanish Cup quarters,Defending Dakar Rally champion Al-Attiyah quits 2012 race,FIFA vows tough action on match-fixing in soccer,Camel saddle and baseball caps on list of royal gifts,Inter Milan enter the race for Tevez,Cantona's presidential bid a publicity stunt?,"Wozniacki, Kvitova tested as battle for top spot heats up",Court to try 1980 Turkey coup plotters,RoboPutt: Rise of the golfing machines?,Fit-again Stricker scores season-opening win in Hawaii
